id,method-name,parametes-method,return-method,field-access,methods-method,contain-class-name,attributes-class,methods-class,contain-class-context,target-class-name,attributes-class,methods-class,target-class-context,tag,move-tag
25,intern,String  Ids  Section,void,,intern  get  Name  intern  get  Descriptor,Cst  Nat,primitive  type  nat  name  descriptor,Cst  Nat  equals  hash  Code  compare  To  to  String  type  Name  is  Category  get  Name  get  Descriptor  to  Human  get  Field  Type  is  Instance  Init  is  Class  Init,Cst  String  Cst  String  Object  Constant  String  Ids  Section,String  Ids  Section,strings,String  Ids  Section  items  get  write  Header  Part  intern  intern  index  Of  order  Items,Dex  File  extends  Constant  Annotated  Output  String  Cst  String  String  Id  Item  Cst  String,1,1
26,set,int  Std  Constant  Pool,void,length,throw  If  Immutable  is  Category  get  Entries  get  Entries  get  Entries  get  Entries  is  Category  get  Entries  get  Entries,Std  Constant  Pool,entries,Std  Constant  Pool  size  get  Or  Null  get  Ok  get  get  Entries  throw  Invalid,int  int  int  int  int,Constant,,is  Category  type  Name  compare  To  compare  To,Constant  Constant  int  Std  Constant  Pool,0,0
27,set,int  Std  Constant  Pool,void,length,throw  If  Immutable  is  Category  get  Entries  get  Entries  get  Entries  get  Entries  is  Category  get  Entries  get  Entries,Constant,,is  Category  type  Name  compare  To  compare  To,Constant  Constant  int  Std  Constant  Pool,Std  Constant  Pool,entries,Std  Constant  Pool  size  get  Or  Null  get  Ok  get  get  Entries  throw  Invalid,int  int  int  int  int,1,1
28,with  Local  Item,Register  Spec,Register  Spec,,get  Local  Item  get  Local  Item  equals  get  Local  Item  make  Local  Optional  get  Reg  get  Type  Bearer,Register  Spec,prefix  the  Interns  the  Interning  Item  reg  type  local  For  Comparison  reg  type  local,intern  make  make  make  Local  Optional  reg  String  Register  Spec  equals  equals  Using  Simple  Type  matches  Variable  equals  compare  To  hash  Code  hash  Code  Of  to  String  to  Human  get  Type  get  Frame  Type  get  Basic  Type  get  Basic  Frame  Type  is  Constant  get  Reg  get  Type  Bearer  get  Local  Item  get  Next  Reg  get  Category  is  Category  is  Category  reg  String  intersect  with  Reg  with  Type  with  Offset  with  Simple  Type  is  Even  Register  to  String  clear  Intern  Table  set  to  Register  Spec  equals  hash  Code,int  Type  Bearer  Local  Item  int  Type  Bearer  int  Type  Bearer  Local  Item  int  Type  Bearer  Local  Item  int  int  Type  Bearer  Local  Item  Object  Register  Spec  Register  Spec  int  Type  Bearer  Local  Item  Register  Spec  int  Type  Bearer  Local  Item  Register  Spec  boolean  int  Type  Bearer  int  boolean  int  Type  Bearer  Local  Item  Object,Local  Item,name  signature,make  Local  Item  equals  compare  Handles  Nulls  compare  To  hash  Code  to  String  get  Name  get  Signature,Cst  String  Cst  String  Cst  String  Cst  String  Object  Cst  String  Cst  String  Local  Item  Register  Spec,0,0
29,with  Local  Item,Register  Spec,Register  Spec,,get  Local  Item  get  Local  Item  equals  get  Local  Item  make  Local  Optional  get  Reg  get  Type  Bearer,Local  Item,name  signature,make  Local  Item  equals  compare  Handles  Nulls  compare  To  hash  Code  to  String  get  Name  get  Signature,Cst  String  Cst  String  Cst  String  Cst  String  Object  Cst  String  Cst  String  Local  Item  Register  Spec,Register  Spec,prefix  the  Interns  the  Interning  Item  reg  type  local  For  Comparison  reg  type  local,intern  make  make  make  Local  Optional  reg  String  Register  Spec  equals  equals  Using  Simple  Type  matches  Variable  equals  compare  To  hash  Code  hash  Code  Of  to  String  to  Human  get  Type  get  Frame  Type  get  Basic  Type  get  Basic  Frame  Type  is  Constant  get  Reg  get  Type  Bearer  get  Local  Item  get  Next  Reg  get  Category  is  Category  is  Category  reg  String  intersect  with  Reg  with  Type  with  Offset  with  Simple  Type  is  Even  Register  to  String  clear  Intern  Table  set  to  Register  Spec  equals  hash  Code,int  Type  Bearer  Local  Item  int  Type  Bearer  int  Type  Bearer  Local  Item  int  Type  Bearer  Local  Item  int  int  Type  Bearer  Local  Item  Object  Register  Spec  Register  Spec  int  Type  Bearer  Local  Item  Register  Spec  int  Type  Bearer  Local  Item  Register  Spec  boolean  int  Type  Bearer  int  boolean  int  Type  Bearer  Local  Item  Object,1,1
30,preferred  Successor  Of,Basic  Block  List,Basic  Block,,get  Primary  Successor  get  Successors  size  label  To  Block  get  label  To  Block  label  To  Block  get,Basic  Block  List,reg  Count  Reg  Count  Visitor  reg  Count,Basic  Block  List  Basic  Block  List  get  set  get  Reg  Count  get  Instruction  Count  get  Effective  Instruction  Count  label  To  Block  for  Each  Insn  with  Register  Offset  get  Mutable  Copy  catches  Equal  Reg  Count  Visitor  get  Reg  Count  visit  Plain  Insn  visit  Plain  Cst  Insn  visit  Switch  Insn  visit  Throwing  Cst  Insn  visit  Throwing  Insn  visit  Fill  Array  Data  Insn  visit  Invoke  Polymorphic  Insn  visit  process  Reg,int  Basic  Block  List  int  int  Basic  Block  int  Insn  Visitor  int  Basic  Block  Basic  Block  Plain  Insn  Plain  Cst  Insn  Switch  Insn  Throwing  Cst  Insn  Throwing  Insn  Fill  Array  Data  Insn  Invoke  Polymorphic  Insn  Insn  Register  Spec,Basic  Block,label  insns  successors  primary  Successor,Basic  Block  equals  hash  Code  get  Label  get  Insns  get  Successors  get  Primary  Successor  get  Secondary  Successor  get  First  Insn  get  Last  Insn  can  Throw  has  Exception  Handlers  get  Exception  Handler  Types  with  Register  Offset  to  String  visit  Block,int  Insn  List  Int  List  int  Object  int  Basic  Block  List  Basic  Block,0,0
31,preferred  Successor  Of,Basic  Block  List,Basic  Block,,get  Primary  Successor  get  Successors  size  label  To  Block  get  label  To  Block  label  To  Block  get,Basic  Block,label  insns  successors  primary  Successor,Basic  Block  equals  hash  Code  get  Label  get  Insns  get  Successors  get  Primary  Successor  get  Secondary  Successor  get  First  Insn  get  Last  Insn  can  Throw  has  Exception  Handlers  get  Exception  Handler  Types  with  Register  Offset  to  String  visit  Block,int  Insn  List  Int  List  int  Object  int  Basic  Block  List  Basic  Block,Basic  Block  List,reg  Count  Reg  Count  Visitor  reg  Count,Basic  Block  List  Basic  Block  List  get  set  get  Reg  Count  get  Instruction  Count  get  Effective  Instruction  Count  label  To  Block  for  Each  Insn  with  Register  Offset  get  Mutable  Copy  catches  Equal  Reg  Count  Visitor  get  Reg  Count  visit  Plain  Insn  visit  Plain  Cst  Insn  visit  Switch  Insn  visit  Throwing  Cst  Insn  visit  Throwing  Insn  visit  Fill  Array  Data  Insn  visit  Invoke  Polymorphic  Insn  visit  process  Reg,int  Basic  Block  List  int  int  Basic  Block  int  Insn  Visitor  int  Basic  Block  Basic  Block  Plain  Insn  Plain  Cst  Insn  Switch  Insn  Throwing  Cst  Insn  Throwing  Insn  Fill  Array  Data  Insn  Invoke  Polymorphic  Insn  Insn  Register  Spec,1,1
32,catches  Equal,Basic  Block  Basic  Block,boolean,,get  Exception  Handler  Types  get  Exception  Handler  Types  equal  Contents  get  Successors  get  Successors  size  get  Primary  Successor  get  Primary  Successor  get  get,Basic  Block  List,reg  Count  Reg  Count  Visitor  reg  Count,Basic  Block  List  Basic  Block  List  get  set  get  Reg  Count  get  Instruction  Count  get  Effective  Instruction  Count  label  To  Block  for  Each  Insn  with  Register  Offset  get  Mutable  Copy  Reg  Count  Visitor  get  Reg  Count  visit  Plain  Insn  visit  Plain  Cst  Insn  visit  Switch  Insn  visit  Throwing  Cst  Insn  visit  Throwing  Insn  visit  Fill  Array  Data  Insn  visit  Invoke  Polymorphic  Insn  visit  process  Reg,int  Basic  Block  List  int  int  Basic  Block  int  Insn  Visitor  int  Basic  Block  Basic  Block  Plain  Insn  Plain  Cst  Insn  Switch  Insn  Throwing  Cst  Insn  Throwing  Insn  Fill  Array  Data  Insn  Invoke  Polymorphic  Insn  Insn  Register  Spec,Basic  Block,label  insns  successors  primary  Successor,Basic  Block  equals  hash  Code  get  Label  get  Insns  get  Successors  get  Primary  Successor  get  Secondary  Successor  get  First  Insn  get  Last  Insn  can  Throw  has  Exception  Handlers  get  Exception  Handler  Types  with  Register  Offset  to  String  preferred  Successor  Of  visit  Block,int  Insn  List  Int  List  int  Object  int  Basic  Block  List  Basic  Block,0,0
33,catches  Equal,Basic  Block  Basic  Block,boolean,,get  Exception  Handler  Types  get  Exception  Handler  Types  equal  Contents  get  Successors  get  Successors  size  get  Primary  Successor  get  Primary  Successor  get  get,Basic  Block,label  insns  successors  primary  Successor,Basic  Block  equals  hash  Code  get  Label  get  Insns  get  Successors  get  Primary  Successor  get  Secondary  Successor  get  First  Insn  get  Last  Insn  can  Throw  has  Exception  Handlers  get  Exception  Handler  Types  with  Register  Offset  to  String  preferred  Successor  Of  visit  Block,int  Insn  List  Int  List  int  Object  int  Basic  Block  List  Basic  Block,Basic  Block  List,reg  Count  Reg  Count  Visitor  reg  Count,Basic  Block  List  Basic  Block  List  get  set  get  Reg  Count  get  Instruction  Count  get  Effective  Instruction  Count  label  To  Block  for  Each  Insn  with  Register  Offset  get  Mutable  Copy  Reg  Count  Visitor  get  Reg  Count  visit  Plain  Insn  visit  Plain  Cst  Insn  visit  Switch  Insn  visit  Throwing  Cst  Insn  visit  Throwing  Insn  visit  Fill  Array  Data  Insn  visit  Invoke  Polymorphic  Insn  visit  process  Reg,int  Basic  Block  List  int  int  Basic  Block  int  Insn  Visitor  int  Basic  Block  Basic  Block  Plain  Insn  Plain  Cst  Insn  Switch  Insn  Throwing  Cst  Insn  Throwing  Insn  Fill  Array  Data  Insn  Invoke  Polymorphic  Insn  Insn  Register  Spec,1,0
34,total  Rop  Width,Dex  Translation  Advice,int,,size  get  Category  get,Dex  Translation  Advice,the  one  no  sources  in  order  min  invoke  in  order  disable  Sources  In  Order,Dex  Translation  Advice  Dex  Translation  Advice  has  Constant  Operation  requires  Sources  In  Order  get  Max  Optimal  Register  Count,boolean  Rop  Register  Spec  Register  Spec  Rop  Register  Spec  List,Register  Spec  List,empty  Expander  compat  Regs  reg  Spec  List  base  result  duplicate  First,make  make  make  make  Register  Spec  List  get  Type  get  Word  Count  with  Added  Type  get  spec  For  Register  index  Of  Register  set  get  Registers  Size  with  First  without  First  without  Last  subset  with  Offset  with  Expanded  Registers  Expander  expand  Register  expand  Register  get  Result,Register  Spec  Register  Spec  Register  Spec  Register  Spec  Register  Spec  Register  Spec  Register  Spec  Register  Spec  Register  Spec  Register  Spec  int  int  Type  int  int  int  int  Register  Spec  Register  Spec  Bit  Set  int  int  boolean  Bit  Set  Dex  Translation  Advice  Register  Spec  List  Bit  Set  int  boolean  int  int  Register  Spec,0,0
35,total  Rop  Width,Dex  Translation  Advice,int,,size  get  Category  get,Register  Spec  List,empty  Expander  compat  Regs  reg  Spec  List  base  result  duplicate  First,make  make  make  make  Register  Spec  List  get  Type  get  Word  Count  with  Added  Type  get  spec  For  Register  index  Of  Register  set  get  Registers  Size  with  First  without  First  without  Last  subset  with  Offset  with  Expanded  Registers  Expander  expand  Register  expand  Register  get  Result,Register  Spec  Register  Spec  Register  Spec  Register  Spec  Register  Spec  Register  Spec  Register  Spec  Register  Spec  Register  Spec  Register  Spec  int  int  Type  int  int  int  int  Register  Spec  Register  Spec  Bit  Set  int  int  boolean  Bit  Set  Dex  Translation  Advice  Register  Spec  List  Bit  Set  int  boolean  int  int  Register  Spec,Dex  Translation  Advice,the  one  no  sources  in  order  min  invoke  in  order  disable  Sources  In  Order,Dex  Translation  Advice  Dex  Translation  Advice  has  Constant  Operation  requires  Sources  In  Order  get  Max  Optimal  Register  Count,boolean  Rop  Register  Spec  Register  Spec  Rop  Register  Spec  List,1,1
36,verify  Valid  Exit  Predecessor,Ssa  To  Rop,void,,get  Insns  get  size  get  Opcode  get  Branchingness,Ssa  To  Rop,debug  ssa  Meth  minimize  Registers  interference  Phi  Visitor  blocks,convert  To  Rop  Method  Ssa  To  Rop  convert  remove  Empty  Gotos  visit  Block  remove  Phi  Functions  Phi  Visitor  visit  Phi  Insn  move  Parameters  To  High  Registers  convert  Basic  Blocks  convert  Basic  Block  convert  Insns  get  Registers  By  Frequency  compare,Ssa  Method  boolean  Ssa  Method  boolean  Ssa  Basic  Block  Ssa  Basic  Block  Array  List  Ssa  Basic  Block  Phi  Insn  Ssa  Basic  Block  Array  List  Ssa  Insn  Integer  Integer,Ssa  Basic  Block,label  comparator  insns  predecessors  successors  successor  List  primary  Successor  rop  Label  parent  index  dom  Children  moves  From  Phis  At  End  moves  From  Phis  At  Beginning  live  In  live  Out  Label  Comparator,Ssa  Basic  Block  new  From  Rop  add  Dom  Child  get  Dom  Children  add  Phi  Insn  For  Reg  add  Phi  Insn  For  Reg  add  Insn  To  Head  replace  Last  Insn  for  Each  Phi  Insn  remove  All  Phi  Insns  get  Count  Phi  Insns  get  Insns  get  Phi  Insns  get  Index  get  Rop  Label  get  Rop  Label  String  get  Predecessors  get  Successors  get  Successor  List  get  Primary  Successor  Index  get  Primary  Successor  Rop  Label  get  Primary  Successor  get  Rop  Label  Successor  List  get  Parent  insert  New  Predecessor  insert  New  Successor  replace  Successor  remove  Successor  exit  Block  Fixup  add  Move  To  End  add  Move  To  Beginning  set  Regs  Used  check  Reg  Used  schedule  Use  Before  Assigned  add  Live  Out  add  Live  In  get  Live  In  Regs  get  Live  Out  Regs  is  Exit  Block  schedule  Moves  From  Phis  for  Each  Insn  to  String  visit  Block  compare,int  int  Ssa  Method  Rop  Method  int  Ssa  Method  Ssa  Basic  Block  int  Register  Spec  Insn  Insn  Phi  Insn  Visitor  Ssa  Basic  Block  int  int  int  Ssa  Basic  Block  Register  Spec  Register  Spec  Register  Spec  Register  Spec  Bit  Set  Register  Spec  Bit  Set  Register  Spec  List  Ssa  Insn  int  int  Ssa  Insn  Visitor  Ssa  To  Rop  Ssa  Basic  Block  Ssa  Basic  Block  Ssa  Basic  Block  Ssa  Basic  Block,0,0
37,verify  Valid  Exit  Predecessor,Ssa  To  Rop,void,,get  Insns  get  size  get  Opcode  get  Branchingness,Ssa  Basic  Block,label  comparator  insns  predecessors  successors  successor  List  primary  Successor  rop  Label  parent  index  dom  Children  moves  From  Phis  At  End  moves  From  Phis  At  Beginning  live  In  live  Out  Label  Comparator,Ssa  Basic  Block  new  From  Rop  add  Dom  Child  get  Dom  Children  add  Phi  Insn  For  Reg  add  Phi  Insn  For  Reg  add  Insn  To  Head  replace  Last  Insn  for  Each  Phi  Insn  remove  All  Phi  Insns  get  Count  Phi  Insns  get  Insns  get  Phi  Insns  get  Index  get  Rop  Label  get  Rop  Label  String  get  Predecessors  get  Successors  get  Successor  List  get  Primary  Successor  Index  get  Primary  Successor  Rop  Label  get  Primary  Successor  get  Rop  Label  Successor  List  get  Parent  insert  New  Predecessor  insert  New  Successor  replace  Successor  remove  Successor  exit  Block  Fixup  add  Move  To  End  add  Move  To  Beginning  set  Regs  Used  check  Reg  Used  schedule  Use  Before  Assigned  add  Live  Out  add  Live  In  get  Live  In  Regs  get  Live  Out  Regs  is  Exit  Block  schedule  Moves  From  Phis  for  Each  Insn  to  String  visit  Block  compare,int  int  Ssa  Method  Rop  Method  int  Ssa  Method  Ssa  Basic  Block  int  Register  Spec  Insn  Insn  Phi  Insn  Visitor  Ssa  Basic  Block  int  int  int  Ssa  Basic  Block  Register  Spec  Register  Spec  Register  Spec  Register  Spec  Bit  Set  Register  Spec  Bit  Set  Register  Spec  List  Ssa  Insn  int  int  Ssa  Insn  Visitor  Ssa  To  Rop  Ssa  Basic  Block  Ssa  Basic  Block  Ssa  Basic  Block  Ssa  Basic  Block,Ssa  To  Rop,debug  ssa  Meth  minimize  Registers  interference  Phi  Visitor  blocks,convert  To  Rop  Method  Ssa  To  Rop  convert  remove  Empty  Gotos  visit  Block  remove  Phi  Functions  Phi  Visitor  visit  Phi  Insn  move  Parameters  To  High  Registers  convert  Basic  Blocks  convert  Basic  Block  convert  Insns  get  Registers  By  Frequency  compare,Ssa  Method  boolean  Ssa  Method  boolean  Ssa  Basic  Block  Ssa  Basic  Block  Array  List  Ssa  Basic  Block  Phi  Insn  Ssa  Basic  Block  Array  List  Ssa  Insn  Integer  Integer,1,1
38,param  Number  From  Move  Param,First  Fit  Allocator,int,,get  Original  Rop  Insn  get  Value  get  Constant,First  Fit  Allocator,preslot  params  mapped,First  Fit  Allocator  wants  Params  Moved  High  allocate  Registers,Ssa  Method  Interference  Graph,Normal  Ssa  Insn,insn,Normal  Ssa  Insn  map  Source  Registers  change  One  Source  set  New  Sources  clone  get  Sources  to  Human  to  Rop  Insn  get  Opcode  get  Original  Rop  Insn  get  Local  Assignment  upgrade  To  Literal  is  Normal  Move  Insn  is  Move  Exception  can  Throw  accept  is  Phi  Or  Move  has  Side  Effect,Insn  Ssa  Basic  Block  Register  Mapper  int  Register  Spec  Register  Spec  List  Visitor  First  Fit  Allocator,0,0
39,param  Number  From  Move  Param,First  Fit  Allocator,int,,get  Original  Rop  Insn  get  Value  get  Constant,Normal  Ssa  Insn,insn,Normal  Ssa  Insn  map  Source  Registers  change  One  Source  set  New  Sources  clone  get  Sources  to  Human  to  Rop  Insn  get  Opcode  get  Original  Rop  Insn  get  Local  Assignment  upgrade  To  Literal  is  Normal  Move  Insn  is  Move  Exception  can  Throw  accept  is  Phi  Or  Move  has  Side  Effect,Insn  Ssa  Basic  Block  Register  Mapper  int  Register  Spec  Register  Spec  List  Visitor  First  Fit  Allocator,First  Fit  Allocator,preslot  params  mapped,First  Fit  Allocator  wants  Params  Moved  High  allocate  Registers,Ssa  Method  Interference  Graph,1,1
40,is  Reg  A  Local,Register  Spec,boolean,,get  Definition  For  Register  get  Reg  get  Local  Assignment  get  Use  List  For  Register  get  Reg  get  Original  Rop  Insn  get  Opcode  get  Opcode,Ssa  Method,blocks  entry  Block  Index  exit  Block  Index  register  Count  spare  Register  Base  borrowed  Spare  Registers  max  Label  param  Width  is  Static  definition  List  use  List  unmodifiable  Use  List  back  Mode,new  From  Rop  Method  Ssa  Method  bit  Set  From  Label  List  index  List  From  Label  List  convert  Rop  To  Ssa  Blocks  make  Exit  Block  get  Goto  make  New  Goto  Block  get  Entry  Block  Index  get  Entry  Block  get  Exit  Block  Index  get  Exit  Block  block  Index  To  Rop  Label  get  Reg  Count  get  Param  Width  is  Static  borrow  Spare  Register  return  Spare  Registers  get  Blocks  compute  Reachability  map  Registers  get  Definition  For  Register  visit  Move  Insn  visit  Phi  Insn  visit  Non  Move  Insn  build  Use  List  visit  Move  Insn  visit  Phi  Insn  visit  Non  Move  Insn  add  To  Uses  on  Source  Changed  on  Sources  Changed  remove  From  Use  List  on  Insn  Added  on  Insn  Removed  on  Insns  Changed  update  One  Definition  get  Use  List  For  Register  get  Use  List  Copy  set  New  Reg  Count  make  New  Ssa  Reg  for  Each  Insn  for  Each  Phi  Insn  for  Each  Block  Depth  First  for  Each  Block  Depth  First  Dom  delete  Insns  set  Back  Mode,Rop  Method  int  boolean  Rop  Method  int  boolean  Basic  Block  List  Int  List  Basic  Block  List  Int  List  Rop  Method  Ssa  Basic  Block  int  int  Register  Mapper  int  Normal  Ssa  Insn  Phi  Insn  Normal  Ssa  Insn  Normal  Ssa  Insn  Phi  Insn  Normal  Ssa  Insn  Ssa  Insn  Ssa  Insn  Register  Spec  Register  Spec  Ssa  Insn  Register  Spec  List  Ssa  Insn  Register  Spec  List  Ssa  Insn  Ssa  Insn  Ssa  Insn  Register  Spec  int  Register  Spec  int  Ssa  Insn  Visitor  Phi  Insn  Visitor  boolean  Ssa  Basic  Block  Visitor  Ssa  Basic  Block  Visitor  Set  Ssa  Insn,Register  Spec,prefix  the  Interns  the  Interning  Item  reg  type  local  For  Comparison  reg  type  local,intern  make  make  make  Local  Optional  reg  String  Register  Spec  equals  equals  Using  Simple  Type  matches  Variable  equals  compare  To  hash  Code  hash  Code  Of  to  String  to  Human  get  Type  get  Frame  Type  get  Basic  Type  get  Basic  Frame  Type  is  Constant  get  Reg  get  Type  Bearer  get  Local  Item  get  Next  Reg  get  Category  is  Category  is  Category  reg  String  intersect  with  Reg  with  Type  with  Offset  with  Simple  Type  is  Even  Register  to  String  clear  Intern  Table  set  to  Register  Spec  equals  hash  Code,int  Type  Bearer  Local  Item  int  Type  Bearer  int  Type  Bearer  Local  Item  int  Type  Bearer  Local  Item  int  int  Type  Bearer  Local  Item  Object  Register  Spec  Register  Spec  int  Type  Bearer  Local  Item  Register  Spec  int  Type  Bearer  Local  Item  Register  Spec  boolean  int  Type  Bearer  int  boolean  int  Type  Bearer  Local  Item  Object,0,0
41,is  Reg  A  Local,Register  Spec,boolean,,get  Definition  For  Register  get  Reg  get  Local  Assignment  get  Use  List  For  Register  get  Reg  get  Original  Rop  Insn  get  Opcode  get  Opcode,Register  Spec,prefix  the  Interns  the  Interning  Item  reg  type  local  For  Comparison  reg  type  local,intern  make  make  make  Local  Optional  reg  String  Register  Spec  equals  equals  Using  Simple  Type  matches  Variable  equals  compare  To  hash  Code  hash  Code  Of  to  String  to  Human  get  Type  get  Frame  Type  get  Basic  Type  get  Basic  Frame  Type  is  Constant  get  Reg  get  Type  Bearer  get  Local  Item  get  Next  Reg  get  Category  is  Category  is  Category  reg  String  intersect  with  Reg  with  Type  with  Offset  with  Simple  Type  is  Even  Register  to  String  clear  Intern  Table  set  to  Register  Spec  equals  hash  Code,int  Type  Bearer  Local  Item  int  Type  Bearer  int  Type  Bearer  Local  Item  int  Type  Bearer  Local  Item  int  int  Type  Bearer  Local  Item  Object  Register  Spec  Register  Spec  int  Type  Bearer  Local  Item  Register  Spec  int  Type  Bearer  Local  Item  Register  Spec  boolean  int  Type  Bearer  int  boolean  int  Type  Bearer  Local  Item  Object,Ssa  Method,blocks  entry  Block  Index  exit  Block  Index  register  Count  spare  Register  Base  borrowed  Spare  Registers  max  Label  param  Width  is  Static  definition  List  use  List  unmodifiable  Use  List  back  Mode,new  From  Rop  Method  Ssa  Method  bit  Set  From  Label  List  index  List  From  Label  List  convert  Rop  To  Ssa  Blocks  make  Exit  Block  get  Goto  make  New  Goto  Block  get  Entry  Block  Index  get  Entry  Block  get  Exit  Block  Index  get  Exit  Block  block  Index  To  Rop  Label  get  Reg  Count  get  Param  Width  is  Static  borrow  Spare  Register  return  Spare  Registers  get  Blocks  compute  Reachability  map  Registers  get  Definition  For  Register  visit  Move  Insn  visit  Phi  Insn  visit  Non  Move  Insn  build  Use  List  visit  Move  Insn  visit  Phi  Insn  visit  Non  Move  Insn  add  To  Uses  on  Source  Changed  on  Sources  Changed  remove  From  Use  List  on  Insn  Added  on  Insn  Removed  on  Insns  Changed  update  One  Definition  get  Use  List  For  Register  get  Use  List  Copy  set  New  Reg  Count  make  New  Ssa  Reg  for  Each  Insn  for  Each  Phi  Insn  for  Each  Block  Depth  First  for  Each  Block  Depth  First  Dom  delete  Insns  set  Back  Mode,Rop  Method  int  boolean  Rop  Method  int  boolean  Basic  Block  List  Int  List  Basic  Block  List  Int  List  Rop  Method  Ssa  Basic  Block  int  int  Register  Mapper  int  Normal  Ssa  Insn  Phi  Insn  Normal  Ssa  Insn  Normal  Ssa  Insn  Phi  Insn  Normal  Ssa  Insn  Ssa  Insn  Ssa  Insn  Register  Spec  Register  Spec  Ssa  Insn  Register  Spec  List  Ssa  Insn  Register  Spec  List  Ssa  Insn  Ssa  Insn  Ssa  Insn  Register  Spec  int  Register  Spec  int  Ssa  Insn  Visitor  Phi  Insn  Visitor  boolean  Ssa  Basic  Block  Visitor  Ssa  Basic  Block  Visitor  Set  Ssa  Insn,1,0
42,map,Register  Mapper,Register  Spec  Set,,get  Max  Size  get  New  Register  Count  get  put  map  set  Immutable  equals,Register  Mapper,,get  New  Register  Count  map,Register  Spec  Register  Spec  List,Register  Spec  List,empty  Expander  compat  Regs  reg  Spec  List  base  result  duplicate  First,make  make  make  make  Register  Spec  List  get  Type  get  Word  Count  with  Added  Type  get  spec  For  Register  index  Of  Register  set  get  Registers  Size  with  First  without  First  without  Last  subset  with  Offset  with  Expanded  Registers  total  Rop  Width  Expander  expand  Register  expand  Register  get  Result,Register  Spec  Register  Spec  Register  Spec  Register  Spec  Register  Spec  Register  Spec  Register  Spec  Register  Spec  Register  Spec  Register  Spec  int  int  Type  int  int  int  int  Register  Spec  Register  Spec  Bit  Set  int  int  boolean  Bit  Set  Dex  Translation  Advice  Register  Spec  List  Bit  Set  int  boolean  int  int  Register  Spec,0,0
43,map,Register  Mapper,Register  Spec  Set,,get  Max  Size  get  New  Register  Count  get  put  map  set  Immutable  equals,Register  Spec  List,empty  Expander  compat  Regs  reg  Spec  List  base  result  duplicate  First,make  make  make  make  Register  Spec  List  get  Type  get  Word  Count  with  Added  Type  get  spec  For  Register  index  Of  Register  set  get  Registers  Size  with  First  without  First  without  Last  subset  with  Offset  with  Expanded  Registers  total  Rop  Width  Expander  expand  Register  expand  Register  get  Result,Register  Spec  Register  Spec  Register  Spec  Register  Spec  Register  Spec  Register  Spec  Register  Spec  Register  Spec  Register  Spec  Register  Spec  int  int  Type  int  int  int  int  Register  Spec  Register  Spec  Bit  Set  int  int  boolean  Bit  Set  Dex  Translation  Advice  Register  Spec  List  Bit  Set  int  boolean  int  int  Register  Spec,Register  Mapper,,get  New  Register  Count  map,Register  Spec  Register  Spec  List,1,0
44,map,Register  Mapper,Register  Spec  Set,,get  Max  Size  get  New  Register  Count  get  put  map  set  Immutable  equals,Register  Mapper,,get  New  Register  Count  map,Register  Spec  Register  Spec  List,Register  Spec  Set,empty  specs  size,Register  Spec  Set  equals  hash  Code  to  String  get  Max  Size  size  get  get  find  Matching  Local  local  Item  To  Spec  remove  put  put  All  intersect  with  Offset  mutable  Copy,int  Object  int  Register  Spec  Register  Spec  Local  Item  Register  Spec  Register  Spec  Register  Spec  Set  Register  Spec  Set  boolean  int  Register  Mapper,0,0
45,map,Register  Mapper,Register  Spec  Set,,get  Max  Size  get  New  Register  Count  get  put  map  set  Immutable  equals,Register  Spec  Set,empty  specs  size,Register  Spec  Set  equals  hash  Code  to  String  get  Max  Size  size  get  get  find  Matching  Local  local  Item  To  Spec  remove  put  put  All  intersect  with  Offset  mutable  Copy,int  Object  int  Register  Spec  Register  Spec  Local  Item  Register  Spec  Register  Spec  Register  Spec  Set  Register  Spec  Set  boolean  int  Register  Mapper,Register  Mapper,,get  New  Register  Count  map,Register  Spec  Register  Spec  List,1,1
46,get  Param  Index,Normal  Ssa  Insn,int,,get  Original  Rop  Insn  get  Value  get  Constant,Move  Param  Combiner,ssa  Meth,process  Move  Param  Combiner  run  visit  Move  Insn  visit  Phi  Insn  visit  Non  Move  Insn  get  New  Register  Count  map,Ssa  Method  Ssa  Method  Normal  Ssa  Insn  Phi  Insn  Normal  Ssa  Insn  Register  Spec  Normal  Ssa  Insn,Normal  Ssa  Insn,insn,Normal  Ssa  Insn  map  Source  Registers  change  One  Source  set  New  Sources  clone  get  Sources  to  Human  to  Rop  Insn  get  Opcode  get  Original  Rop  Insn  get  Local  Assignment  upgrade  To  Literal  is  Normal  Move  Insn  is  Move  Exception  can  Throw  accept  is  Phi  Or  Move  has  Side  Effect  param  Number  From  Move  Param,Insn  Ssa  Basic  Block  Register  Mapper  int  Register  Spec  Register  Spec  List  Visitor  First  Fit  Allocator,0,0
