id,method-name,parametes-method,return-method,field-access,methods-method,contain-class-name,attributes-class,methods-class,target-class-name,attributes-class,methods-class,tag,move-tag
26,page,Collection  String  Entity  int  int  Rs  Handler  T,t,,get  Connection  page  close  Connection,Abstract  Db,serial  Version  U  I  D  ds  is  Support  Transaction  case  Insensitive  runner,Abstract  Db  get  Connection  close  Connection  query  query  query  query  One  query  Number  query  String  query  query  execute  execute  For  Generated  Key  execute  Batch  execute  Batch  insert  insert  Or  Update  insert  insert  For  Generated  Keys  insert  For  Generated  Key  del  del  update  get  get  find  find  find  find  find  find  All  find  All  find  All  find  By  find  By  find  Like  count  page  page  For  Entity  List  page  For  Entity  List  page  page  page  page  page  page  set  Case  Insensitive  get  Runner  set  Runner  set  Wrapper  set  Wrapper  disable  Wrapper  check  Transaction  Supported,Entity,serial  Version  U  I  D  table  Name  field  Names,create  create  parse  parse  parse  With  Underline  Case  Entity  Entity  Entity  get  Table  Name  set  Table  Name  get  Field  Names  set  Field  Names  set  Field  Names  add  Field  Names  parse  Bean  parse  Bean  filter  set  set  Ignore  Null  get  Clob  get  Blob  get  Time  get  Date  get  Timestamp  get  Str  get  Str  get  Row  Id  get  Row  Id  clone  to  String  wrap,0,0
27,page,Collection  String  Entity  int  int  Rs  Handler  T,t,,get  Connection  page  close  Connection,Entity,serial  Version  U  I  D  table  Name  field  Names,create  create  parse  parse  parse  With  Underline  Case  Entity  Entity  Entity  get  Table  Name  set  Table  Name  get  Field  Names  set  Field  Names  set  Field  Names  add  Field  Names  parse  Bean  parse  Bean  filter  set  set  Ignore  Null  get  Clob  get  Blob  get  Time  get  Date  get  Timestamp  get  Str  get  Str  get  Row  Id  get  Row  Id  clone  to  String  wrap,Abstract  Db,serial  Version  U  I  D  ds  is  Support  Transaction  case  Insensitive  runner,Abstract  Db  get  Connection  close  Connection  query  query  query  query  One  query  Number  query  String  query  query  execute  execute  For  Generated  Key  execute  Batch  execute  Batch  insert  insert  Or  Update  insert  insert  For  Generated  Keys  insert  For  Generated  Key  del  del  update  get  get  find  find  find  find  find  find  All  find  All  find  All  find  By  find  By  find  Like  count  page  page  For  Entity  List  page  For  Entity  List  page  page  page  page  page  page  set  Case  Insensitive  get  Runner  set  Runner  set  Wrapper  set  Wrapper  disable  Wrapper  check  Transaction  Supported,1,0
28,page,Collection  String  Entity  int  int  Rs  Handler  T,t,,get  Connection  page  close  Connection,Abstract  Db,serial  Version  U  I  D  ds  is  Support  Transaction  case  Insensitive  runner,Abstract  Db  get  Connection  close  Connection  query  query  query  query  One  query  Number  query  String  query  query  execute  execute  For  Generated  Key  execute  Batch  execute  Batch  insert  insert  Or  Update  insert  insert  For  Generated  Keys  insert  For  Generated  Key  del  del  update  get  get  find  find  find  find  find  find  All  find  All  find  All  find  By  find  By  find  Like  count  page  page  For  Entity  List  page  For  Entity  List  page  page  page  page  page  page  set  Case  Insensitive  get  Runner  set  Runner  set  Wrapper  set  Wrapper  disable  Wrapper  check  Transaction  Supported,Entity,serial  Version  U  I  D  table  Name  field  Names,create  create  parse  parse  parse  With  Underline  Case  Entity  Entity  Entity  get  Table  Name  set  Table  Name  get  Field  Names  set  Field  Names  set  Field  Names  add  Field  Names  parse  Bean  parse  Bean  filter  set  set  Ignore  Null  get  Clob  get  Blob  get  Time  get  Date  get  Timestamp  get  Str  get  Str  get  Row  Id  get  Row  Id  clone  to  String  wrap,0,0
29,page,Collection  String  Entity  int  int  Rs  Handler  T,t,,get  Connection  page  close  Connection,Entity,serial  Version  U  I  D  table  Name  field  Names,create  create  parse  parse  parse  With  Underline  Case  Entity  Entity  Entity  get  Table  Name  set  Table  Name  get  Field  Names  set  Field  Names  set  Field  Names  add  Field  Names  parse  Bean  parse  Bean  filter  set  set  Ignore  Null  get  Clob  get  Blob  get  Time  get  Date  get  Timestamp  get  Str  get  Str  get  Row  Id  get  Row  Id  clone  to  String  wrap,Abstract  Db,serial  Version  U  I  D  ds  is  Support  Transaction  case  Insensitive  runner,Abstract  Db  get  Connection  close  Connection  query  query  query  query  One  query  Number  query  String  query  query  execute  execute  For  Generated  Key  execute  Batch  execute  Batch  insert  insert  Or  Update  insert  insert  For  Generated  Keys  insert  For  Generated  Key  del  del  update  get  get  find  find  find  find  find  find  All  find  All  find  All  find  By  find  By  find  Like  count  page  page  For  Entity  List  page  For  Entity  List  page  page  page  page  page  page  set  Case  Insensitive  get  Runner  set  Runner  set  Wrapper  set  Wrapper  disable  Wrapper  check  Transaction  Supported,1,0
30,page,Collection  String  Entity  int  int  Rs  Handler  T,t,,get  Connection  page  close  Connection,Abstract  Db,serial  Version  U  I  D  ds  is  Support  Transaction  case  Insensitive  runner,Abstract  Db  get  Connection  close  Connection  query  query  query  query  One  query  Number  query  String  query  query  execute  execute  For  Generated  Key  execute  Batch  execute  Batch  insert  insert  Or  Update  insert  insert  For  Generated  Keys  insert  For  Generated  Key  del  del  update  get  get  find  find  find  find  find  find  All  find  All  find  All  find  By  find  By  find  Like  count  page  page  For  Entity  List  page  For  Entity  List  page  page  page  page  page  page  set  Case  Insensitive  get  Runner  set  Runner  set  Wrapper  set  Wrapper  disable  Wrapper  check  Transaction  Supported,Page,serial  Version  U  I  D  default  page  size  page  Number  page  Size  orders,Page  Page  Page  get  Page  Number  set  Page  Number  get  Num  Per  Page  set  Num  Per  Page  get  Page  Size  set  Page  Size  get  Orders  set  Order  add  Order  get  Start  Position  get  End  Position  get  Start  End  to  String,0,0
31,page,Collection  String  Entity  int  int  Rs  Handler  T,t,,get  Connection  page  close  Connection,Page,serial  Version  U  I  D  default  page  size  page  Number  page  Size  orders,Page  Page  Page  get  Page  Number  set  Page  Number  get  Num  Per  Page  set  Num  Per  Page  get  Page  Size  set  Page  Size  get  Orders  set  Order  add  Order  get  Start  Position  get  End  Position  get  Start  End  to  String,Abstract  Db,serial  Version  U  I  D  ds  is  Support  Transaction  case  Insensitive  runner,Abstract  Db  get  Connection  close  Connection  query  query  query  query  One  query  Number  query  String  query  query  execute  execute  For  Generated  Key  execute  Batch  execute  Batch  insert  insert  Or  Update  insert  insert  For  Generated  Keys  insert  For  Generated  Key  del  del  update  get  get  find  find  find  find  find  find  All  find  All  find  All  find  By  find  By  find  Like  count  page  page  For  Entity  List  page  For  Entity  List  page  page  page  page  page  page  set  Case  Insensitive  get  Runner  set  Runner  set  Wrapper  set  Wrapper  disable  Wrapper  check  Transaction  Supported,1,0
32,exist,Entity,boolean,,count,Dao  Template,table  Name  primary  Key  Field  db,Dao  Template  Dao  Template  Dao  Template  Dao  Template  Dao  Template  add  add  For  Generated  Keys  add  For  Generated  Key  del  del  del  update  update  add  Or  Update  get  get  get  find  find  All  find  find  By  Sql  page  page  count  fix  Entity,Entity,serial  Version  U  I  D  table  Name  field  Names,create  create  parse  parse  parse  With  Underline  Case  Entity  Entity  Entity  get  Table  Name  set  Table  Name  get  Field  Names  set  Field  Names  set  Field  Names  add  Field  Names  parse  Bean  parse  Bean  filter  set  set  Ignore  Null  get  Clob  get  Blob  get  Time  get  Date  get  Timestamp  get  Str  get  Str  get  Row  Id  get  Row  Id  clone  to  String  wrap,0,0
33,exist,Entity,boolean,,count,Entity,serial  Version  U  I  D  table  Name  field  Names,create  create  parse  parse  parse  With  Underline  Case  Entity  Entity  Entity  get  Table  Name  set  Table  Name  get  Field  Names  set  Field  Names  set  Field  Names  add  Field  Names  parse  Bean  parse  Bean  filter  set  set  Ignore  Null  get  Clob  get  Blob  get  Time  get  Date  get  Timestamp  get  Str  get  Str  get  Row  Id  get  Row  Id  clone  to  String  wrap,Dao  Template,table  Name  primary  Key  Field  db,Dao  Template  Dao  Template  Dao  Template  Dao  Template  Dao  Template  add  add  For  Generated  Keys  add  For  Generated  Key  del  del  del  update  update  add  Or  Update  get  get  get  find  find  All  find  find  By  Sql  page  page  count  fix  Entity,1,0
34,insert  Or  Update,Connection  Entity  String,int,,filter  is  Not  Empty  count  update  insert,Sql  Conn  Runner,serial  Version  U  I  D  dialect  case  Insensitive,create  create  create  Sql  Conn  Runner  Sql  Conn  Runner  insert  insert  insert  insert  For  Generated  Keys  insert  For  Generated  Key  del  update  find  find  find  find  find  All  find  All  find  By  find  Like  find  In  count  page  page  page  page  page  set  Case  Insensitive  get  Dialect  set  Dialect  set  Wrapper  set  Wrapper  check  Conn,Entity,serial  Version  U  I  D  table  Name  field  Names,create  create  parse  parse  parse  With  Underline  Case  Entity  Entity  Entity  get  Table  Name  set  Table  Name  get  Field  Names  set  Field  Names  set  Field  Names  add  Field  Names  parse  Bean  parse  Bean  filter  set  set  Ignore  Null  get  Clob  get  Blob  get  Time  get  Date  get  Timestamp  get  Str  get  Str  get  Row  Id  get  Row  Id  clone  to  String  wrap,0,0
35,insert  Or  Update,Connection  Entity  String,int,,filter  is  Not  Empty  count  update  insert,Entity,serial  Version  U  I  D  table  Name  field  Names,create  create  parse  parse  parse  With  Underline  Case  Entity  Entity  Entity  get  Table  Name  set  Table  Name  get  Field  Names  set  Field  Names  set  Field  Names  add  Field  Names  parse  Bean  parse  Bean  filter  set  set  Ignore  Null  get  Clob  get  Blob  get  Time  get  Date  get  Timestamp  get  Str  get  Str  get  Row  Id  get  Row  Id  clone  to  String  wrap,Sql  Conn  Runner,serial  Version  U  I  D  dialect  case  Insensitive,create  create  create  Sql  Conn  Runner  Sql  Conn  Runner  insert  insert  insert  insert  For  Generated  Keys  insert  For  Generated  Key  del  update  find  find  find  find  find  All  find  All  find  By  find  Like  find  In  count  page  page  page  page  page  set  Case  Insensitive  get  Dialect  set  Dialect  set  Wrapper  set  Wrapper  check  Conn,1,0
36,find,Connection  Query  Rs  Handler  T,t,,check  Conn  not  Null  ps  For  Find  query  close,Sql  Conn  Runner,serial  Version  U  I  D  dialect  case  Insensitive,create  create  create  Sql  Conn  Runner  Sql  Conn  Runner  insert  insert  Or  Update  insert  insert  insert  For  Generated  Keys  insert  For  Generated  Key  del  update  find  find  find  find  All  find  All  find  By  find  Like  find  In  count  page  page  page  page  page  set  Case  Insensitive  get  Dialect  set  Dialect  set  Wrapper  set  Wrapper  check  Conn,Entity,serial  Version  U  I  D  table  Name  field  Names,create  create  parse  parse  parse  With  Underline  Case  Entity  Entity  Entity  get  Table  Name  set  Table  Name  get  Field  Names  set  Field  Names  set  Field  Names  add  Field  Names  parse  Bean  parse  Bean  filter  set  set  Ignore  Null  get  Clob  get  Blob  get  Time  get  Date  get  Timestamp  get  Str  get  Str  get  Row  Id  get  Row  Id  clone  to  String  wrap,0,0
37,find,Connection  Query  Rs  Handler  T,t,,check  Conn  not  Null  ps  For  Find  query  close,Entity,serial  Version  U  I  D  table  Name  field  Names,create  create  parse  parse  parse  With  Underline  Case  Entity  Entity  Entity  get  Table  Name  set  Table  Name  get  Field  Names  set  Field  Names  set  Field  Names  add  Field  Names  parse  Bean  parse  Bean  filter  set  set  Ignore  Null  get  Clob  get  Blob  get  Time  get  Date  get  Timestamp  get  Str  get  Str  get  Row  Id  get  Row  Id  clone  to  String  wrap,Sql  Conn  Runner,serial  Version  U  I  D  dialect  case  Insensitive,create  create  create  Sql  Conn  Runner  Sql  Conn  Runner  insert  insert  Or  Update  insert  insert  insert  For  Generated  Keys  insert  For  Generated  Key  del  update  find  find  find  find  All  find  All  find  By  find  Like  find  In  count  page  page  page  page  page  set  Case  Insensitive  get  Dialect  set  Dialect  set  Wrapper  set  Wrapper  check  Conn,1,0
38,set  Wrapper,Character,Sql  Conn  Runner,,set  Wrapper,Sql  Conn  Runner,serial  Version  U  I  D  dialect  case  Insensitive,create  create  create  Sql  Conn  Runner  Sql  Conn  Runner  insert  insert  Or  Update  insert  insert  insert  For  Generated  Keys  insert  For  Generated  Key  del  update  find  find  find  find  find  All  find  All  find  By  find  Like  find  In  count  page  page  page  page  page  set  Case  Insensitive  get  Dialect  set  Dialect  set  Wrapper  check  Conn,Wrapper,pre  Wrap  Quote  suf  Wrap  Quote,Wrapper  Wrapper  Wrapper  get  Pre  Wrap  Quote  set  Pre  Wrap  Quote  get  Suf  Wrap  Quote  set  Suf  Wrap  Quote  wrap  wrap  wrap  wrap,0,0
39,set  Wrapper,Character,Sql  Conn  Runner,,set  Wrapper,Wrapper,pre  Wrap  Quote  suf  Wrap  Quote,Wrapper  Wrapper  Wrapper  get  Pre  Wrap  Quote  set  Pre  Wrap  Quote  get  Suf  Wrap  Quote  set  Suf  Wrap  Quote  wrap  wrap  wrap  wrap,Sql  Conn  Runner,serial  Version  U  I  D  dialect  case  Insensitive,create  create  create  Sql  Conn  Runner  Sql  Conn  Runner  insert  insert  Or  Update  insert  insert  insert  For  Generated  Keys  insert  For  Generated  Key  del  update  find  find  find  find  find  All  find  All  find  By  find  Like  find  In  count  page  page  page  page  page  set  Case  Insensitive  get  Dialect  set  Dialect  set  Wrapper  check  Conn,1,0
40,read,Csv  Row  Handler  Csv  Base  Reader,void,,next  Row  handle  close,Csv  Base  Reader,serial  Version  U  I  D  default  charset  config,Csv  Base  Reader  Csv  Base  Reader  set  Field  Separator  set  Text  Delimiter  set  Contains  Header  set  Skip  Empty  Rows  set  Error  On  Different  Field  Count  read  read  read  read  read  parse,Csv  Parser,serial  Version  U  I  D  default  row  capacity  reader  config  buf  buf  Pos  buf  Len  copy  Start  pre  Char  in  Quotes  current  Field  header  line  No  first  Line  Field  Count  max  Field  Count  finished,Csv  Parser  get  Header  next  Row  init  Header  read  Line  close,0,0
41,read,Csv  Row  Handler  Csv  Base  Reader,void,,next  Row  handle  close,Csv  Parser,serial  Version  U  I  D  default  row  capacity  reader  config  buf  buf  Pos  buf  Len  copy  Start  pre  Char  in  Quotes  current  Field  header  line  No  first  Line  Field  Count  max  Field  Count  finished,Csv  Parser  get  Header  next  Row  init  Header  read  Line  close,Csv  Base  Reader,serial  Version  U  I  D  default  charset  config,Csv  Base  Reader  Csv  Base  Reader  set  Field  Separator  set  Text  Delimiter  set  Contains  Header  set  Skip  Empty  Rows  set  Error  On  Different  Field  Count  read  read  read  read  read  parse,1,1
42,schedule,String  Task  Scheduler,Scheduler,,add  get  Task  Table,Scheduler,serial  Version  U  I  D  lock  timezone  started  match  Second  daemon  timer  task  Table  task  Launcher  Manager  task  Executor  Manager  listener  Manager  thread  Executor,set  Time  Zone  get  Time  Zone  set  Daemon  is  Daemon  is  Match  Second  set  Match  Second  add  Listener  remove  Listener  schedule  schedule  schedule  schedule  deschedule  update  Pattern  get  Task  Table  get  Pattern  get  Task  is  Empty  size  clear  is  Started  start  start  stop  stop,Cron  Pattern,second  value  parser  minute  value  parser  hour  value  parser  day  of  month  value  parser  month  value  parser  day  of  week  value  parser  year  value  parser  pattern  second  Matchers  minute  Matchers  hour  Matchers  day  Of  Month  Matchers  month  Matchers  day  Of  Week  Matchers  year  Matchers  matcher  Size,Cron  Pattern  match  match  match  to  String  is  Match  Day  Of  Month  is  Match  parse  Group  Pattern  parse  Single  Pattern,0,0
43,schedule,String  Task  Scheduler,Scheduler,,add  get  Task  Table,Cron  Pattern,second  value  parser  minute  value  parser  hour  value  parser  day  of  month  value  parser  month  value  parser  day  of  week  value  parser  year  value  parser  pattern  second  Matchers  minute  Matchers  hour  Matchers  day  Of  Month  Matchers  month  Matchers  day  Of  Week  Matchers  year  Matchers  matcher  Size,Cron  Pattern  match  match  match  to  String  is  Match  Day  Of  Month  is  Match  parse  Group  Pattern  parse  Single  Pattern,Scheduler,serial  Version  U  I  D  lock  timezone  started  match  Second  daemon  timer  task  Table  task  Launcher  Manager  task  Executor  Manager  listener  Manager  thread  Executor,set  Time  Zone  get  Time  Zone  set  Daemon  is  Daemon  is  Match  Second  set  Match  Second  add  Listener  remove  Listener  schedule  schedule  schedule  schedule  deschedule  update  Pattern  get  Task  Table  get  Pattern  get  Task  is  Empty  size  clear  is  Started  start  start  stop  stop,1,1
44,update  Pattern,String  Cron  Pattern,Scheduler,task  Table,update  Pattern,Scheduler,serial  Version  U  I  D  lock  timezone  started  match  Second  daemon  timer  task  Table  task  Launcher  Manager  task  Executor  Manager  listener  Manager  thread  Executor,set  Time  Zone  get  Time  Zone  set  Daemon  is  Daemon  is  Match  Second  set  Match  Second  add  Listener  remove  Listener  schedule  schedule  schedule  schedule  schedule  deschedule  get  Task  Table  get  Pattern  get  Task  is  Empty  size  clear  is  Started  start  start  stop  stop,Cron  Pattern,second  value  parser  minute  value  parser  hour  value  parser  day  of  month  value  parser  month  value  parser  day  of  week  value  parser  year  value  parser  pattern  second  Matchers  minute  Matchers  hour  Matchers  day  Of  Month  Matchers  month  Matchers  day  Of  Week  Matchers  year  Matchers  matcher  Size,Cron  Pattern  match  match  match  to  String  is  Match  Day  Of  Month  is  Match  parse  Group  Pattern  parse  Single  Pattern  schedule,0,0
45,update  Pattern,String  Cron  Pattern,Scheduler,task  Table,update  Pattern,Cron  Pattern,second  value  parser  minute  value  parser  hour  value  parser  day  of  month  value  parser  month  value  parser  day  of  week  value  parser  year  value  parser  pattern  second  Matchers  minute  Matchers  hour  Matchers  day  Of  Month  Matchers  month  Matchers  day  Of  Week  Matchers  year  Matchers  matcher  Size,Cron  Pattern  match  match  match  to  String  is  Match  Day  Of  Month  is  Match  parse  Group  Pattern  parse  Single  Pattern  schedule,Scheduler,serial  Version  U  I  D  lock  timezone  started  match  Second  daemon  timer  task  Table  task  Launcher  Manager  task  Executor  Manager  listener  Manager  thread  Executor,set  Time  Zone  get  Time  Zone  set  Daemon  is  Daemon  is  Match  Second  set  Match  Second  add  Listener  remove  Listener  schedule  schedule  schedule  schedule  schedule  deschedule  get  Task  Table  get  Pattern  get  Task  is  Empty  size  clear  is  Started  start  start  stop  stop,1,0
46,init,J  S  O  N  Object,void,,next  Clean  syntax  Error  next  Clean  syntax  Error  back  to  String  next  Value  next  Clean  syntax  Error  put  Once  next  Value  next  Clean  next  Clean  back  syntax  Error,J  S  O  N  Object,serial  Version  U  I  D  default  capacity  raw  Hash  Map  config,J  S  O  N  Object  J  S  O  N  Object  J  S  O  N  Object  J  S  O  N  Object  J  S  O  N  Object  J  S  O  N  Object  J  S  O  N  Object  J  S  O  N  Object  J  S  O  N  Object  J  S  O  N  Object  J  S  O  N  Object  J  S  O  N  Object  get  Config  set  Date  Format  to  J  S  O  N  Array  size  is  Empty  contains  Key  contains  Value  get  get  Obj  get  By  Path  get  By  Path  put  By  Path  put  set  put  Once  put  Opt  put  All  accumulate  append  increment  remove  clear  key  Set  values  entry  Set  hash  Code  equals  to  String  write  do  Write  populate  Map  init  init,J  S  O  N  Tokener,character  eof  index  line  previous  use  Previous  reader  config,J  S  O  N  Tokener  J  S  O  N  Tokener  J  S  O  N  Tokener  back  end  more  next  next  next  next  Clean  next  String  next  To  next  To  next  Value  skip  To  syntax  Error  to  J  S  O  N  Array  to  String,0,0
47,init,J  S  O  N  Object,void,,next  Clean  syntax  Error  next  Clean  syntax  Error  back  to  String  next  Value  next  Clean  syntax  Error  put  Once  next  Value  next  Clean  next  Clean  back  syntax  Error,J  S  O  N  Tokener,character  eof  index  line  previous  use  Previous  reader  config,J  S  O  N  Tokener  J  S  O  N  Tokener  J  S  O  N  Tokener  back  end  more  next  next  next  next  Clean  next  String  next  To  next  To  next  Value  skip  To  syntax  Error  to  J  S  O  N  Array  to  String,J  S  O  N  Object,serial  Version  U  I  D  default  capacity  raw  Hash  Map  config,J  S  O  N  Object  J  S  O  N  Object  J  S  O  N  Object  J  S  O  N  Object  J  S  O  N  Object  J  S  O  N  Object  J  S  O  N  Object  J  S  O  N  Object  J  S  O  N  Object  J  S  O  N  Object  J  S  O  N  Object  J  S  O  N  Object  get  Config  set  Date  Format  to  J  S  O  N  Array  size  is  Empty  contains  Key  contains  Value  get  get  Obj  get  By  Path  get  By  Path  put  By  Path  put  set  put  Once  put  Opt  put  All  accumulate  append  increment  remove  clear  key  Set  values  entry  Set  hash  Code  equals  to  String  write  do  Write  populate  Map  init  init,1,1
